Date,Open,High,Low,Close,Adj Close,Volume
2022-09-02,95.830002,99.019997,95.379997,98.959999,96.974579,1401394
2022-09-05,96.599998,97.269997,95.709999,96.860001,94.916718,851977
2022-09-06,96.339996,97.989998,96.339996,97.089996,95.142097,674006
2022-09-07,96.199997,96.669998,94.730003,95.970001,94.044571,1348443
2022-09-08,96.839996,97.269997,94.250000,96.279999,94.348351,1109561
2022-09-09,95.650002,97.370003,95.269997,96.000000,94.073967,1386848
2022-09-12,96.900002,99.940002,96.809998,99.690002,97.689934,1294764
2022-09-13,100.239998,100.720001,97.410004,97.500000,95.543869,1163781
2022-09-14,96.650002,97.099998,94.419998,95.480003,93.564407,1212846
2022-09-15,95.959999,96.589996,94.360001,94.900002,92.996040,1286355
2022-09-16,92.650002,92.910004,91.180000,91.739998,89.899429,2682261
2022-09-19,91.489998,94.019997,90.910004,93.440002,91.565331,1079949
2022-09-20,93.860001,93.980003,91.309998,91.970001,90.124817,1153704
2022-09-21,91.000000,93.430000,90.830002,93.370003,91.496742,1271847
2022-09-22,91.489998,94.080002,91.260002,92.339996,90.487389,1251884
2022-09-23,92.769997,96.050003,91.580002,91.980003,90.134628,2307800
2022-09-26,91.099998,93.050003,90.820000,91.480003,89.644661,1317176
2022-09-27,92.139999,92.529999,89.610001,89.800003,87.998360,1421194
2022-09-28,89.099998,89.540001,86.800003,89.290001,87.498589,1647149
2022-09-29,90.050003,90.199997,87.129997,88.089996,86.322655,1370472
2022-09-30,88.129997,89.400002,87.489998,88.889999,87.106613,1461667
2022-10-03,87.900002,89.769997,86.519997,89.209999,87.420197,1057580
2022-10-04,90.639999,95.160004,90.360001,94.699997,92.800049,1891490
2022-10-05,94.300003,94.959999,92.790001,93.349998,91.477127,1183229
2022-10-06,94.230003,94.949997,92.650002,93.139999,91.271347,1088406
2022-10-07,92.910004,94.260002,91.980003,92.330002,90.477600,783785
2022-10-10,91.800003,93.559998,91.580002,93.010002,91.143959,1000887
2022-10-11,92.709999,94.199997,92.360001,93.930000,92.045494,1092000
2022-10-12,94.000000,94.419998,92.480003,93.250000,91.379135,1189418
2022-10-13,93.510002,97.430000,93.040001,96.900002,94.955910,1620868
2022-10-14,98.720001,99.339996,96.260002,96.589996,94.652130,1271176
2022-10-17,96.690002,99.879997,96.589996,99.099998,97.111771,1039975
2022-10-18,101.500000,101.959999,99.519997,100.239998,98.228897,1190832
2022-10-19,101.000000,101.680000,99.900002,100.879997,98.856056,1034654
